"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"248","Fernando Cruz","RP","RP42",-2.38033820840263,5.61543464586752,2.5707,67.18231125,0.764,3.75588085442269,1.27863539815619,47.35903025,12.767170232545,3.09352531609148
"249","Foster Griffin",NA,"NA332",-9.38290988327316,NA,0.0481,0.8623,0,3.9402,1.3427,1,7.7607,2.34639455782313
"250","Francisco Pérez",NA,"NA567",-10.6940423100835,2.22216294278152,0.5,39,0,4.38157894736842,1.46052631578947,38,9.23684210526316,1.90243902439024
"251","Franco Aleman",NA,"NA244",-9.3185866790288,NA,0.0491,1.0275,0,3.80538,1.2773,1,9.2475,2.78606290672451
"252","Frank German",NA,"NA444",-9.41645161131536,NA,0.0468,0.9375,0,4.19877,1.3645,1,8.4375,2.26668278529981
"253","Fraser Ellard",NA,"NA578",-10.9795226770217,4.0842249022168,1.9681,63.8948,10.9286666666667,4.65577272727273,1.4710702020202,66,8.71292727272727,1.94270726177602
"254","Gabe Speier","RP","RP21",-0.0895331438225534,4.60475505669036,1.554275,35.2704895,0,3.6039350085076,1.21600583717444,33.10231725,9.58949197129092,3.2846916703792
"255","Garrett Davila",NA,"NA328",-9.38199629579846,NA,0.0468,0.8439,0,4.05891,1.3116,1,7.5951,2.42430336110313
"256","Garrett Richards",NA,"NA396",-9.40394422105887,NA,0.0475,0.8543,0,4.14396,1.3397,1,7.6887,2.54710793082886
"257","Garrett Whitlock","SP/RP","SP/RP529",-10.4281064560416,NA,0.0574,0.9017,0,4.21038,1.2828,1,8.1153,3.20889679715302
"258","Gavin Hollowell",NA,"NA95",-6.7593013745081,0.78869293000444,1,32,0,4.20967741935484,1.29032258064516,31,9.29032258064516,2.56
"259","George Soriano",NA,"NA612",-12.2722091802815,1.13952182437509,1,36.5,0,4.85526315789474,1.47368421052632,38,8.64473684210526,2.08571428571429
"260","Gerrit Cole","SP","SP1",36.1094088124295,7.71420271569861,17.6640333333333,271.299,0,3.64349609306892,1.1387205974265,248.532666666667,9.82442683590889,4.10208012870267
"261","Gerson Garabito",NA,"NA630",-13.2489253273389,4.15435091101788,0.53525,32.755062,0,4.61316249976629,1.38484628595589,34.6317575,8.51228985418947,2.28394839158007
"262","Giovanny Gallegos","RP","RP68",-4.99378130504028,0.188287977283287,1.5,36.5,0,4.23529411764706,1.20588235294118,34,9.66176470588235,3.47619047619048
"263","Glenn Otto",NA,"NA351",-9.3898508291369,NA,0.0479,0.981,0,4.2264,1.3187,1,8.829,2.56537656903766
"264","Gordon Graceffo","SP/RP","SP/RP199",-8.93772266268486,0.675162675159945,1.60623333333333,29.6032666666667,0,4.3892,1.32394871794872,39,6.83152307692308,2.40616973545891
"265","Grant Anderson",NA,"NA564",-10.6751621128931,2.99260416174091,1.3126,42.3828333333333,0,4.66365,1.37659761904762,42,9.08203571428571,2.46952149179115
"266","Grant Hartwig",NA,"NA702",-19.5933280487671,NA,0,0.414205,0,4.58119208556649,1.41215882314266,0.471493,7.90646944917528,1.94766936101981
"267","Grant Holman","RP","RP574",-10.87912763987,4.74418946189632,1.59446666666667,55.4602666666667,0,4.311205,1.37844166666667,60,8.31904,2.24410719006436
"268","Grant Holmes","SP/RP","SP/RP486",-9.70310828688218,5.90428478346873,2.053775,38.9671565,0,4.08727992400485,1.33469754378571,40.63864675,8.62982497073429,2.88178844698262
"269","Greg Holland",NA,"NA402",-9.40596067726321,NA,0.0468,0.9232,0,4.21398,1.3394,1,8.3088,2.53696070348997
"270","Greg Weissert","RP","RP183",-8.7391302554063,1.78733185859976,2.74985,47.39144825,0.77525,4.32634881030002,1.38063507168645,47.35743325,9.00646434950104,2.42068873487698
"271","Gregory Santos","RP","RP14",1.30441903886287,0.994598299749852,2.72773333333333,66.1181,4.00466666666667,3.51243333333333,1.23080634920635,63,9.44544285714286,3.37761744777876
"272","Gregory Soto","RP","RP53",-3.17100878296501,8.88813268692754,3.44095,59.9761335,0.75825,3.59766422647474,1.27711344313448,52.60231725,10.2616240066877,2.52053915866728
"273","Griffin Canning","SP","SP692",-18.3874800472078,6.76667309265182,7.5,147,0,4.77950310559006,1.36645962732919,161,8.21739130434783,2.625
"274","Guillo Zuñiga",NA,"NA679",-16.3562178073664,1.88398575167173,1.66666666666667,40.1234416666667,1.33766666666667,5.22412620046232,1.50746254779189,41.478707,8.70593615659235,1.84696694920106
"275","Gus Varland",NA,"NA641",-14.0522414450424,3.58817580202514,0.666666666666667,39.8045316666667,1.337,4.86137411513928,1.46726527265424,41.4697563333333,8.63860356739175,2.16459534488066
"276","Génesis Cabrera","RP","RP117",-7.37534347964021,3.81538938321166,2.33333333333333,39.447627,1.33766666666667,4.49790622325099,1.39789935534451,42.7932443333333,8.29637127380534,2.10787548049227
"277","Hagen Danner",NA,"NA301",-9.36998321419592,NA,0.0472,0.9641,0,4.09671,1.3022,1,8.6769,2.69527537042214
"278","Hans Crouse","RP","RP503",-10.2011937631583,2.60438597225822,2.73286666666667,53.6059,0,4.4826625,1.44881666666667,48,10.05110625,2.02736771242786
"279","Hansel Robles",NA,"NA429",-9.41299823815479,NA,0.046,0.9883,0,4.21254,1.3617,1,8.8947,2.23901223380154
"280","Hayden Harris",NA,"NA303",-9.3710081197099,NA,0.0495,1.0963,0,3.91545,1.3668,1,9.8667,2.33304958501809
"281","Hayden Juenger",NA,"NA137",-7.76213522421829,1.64943748022969,0,16,0,4.23529411764706,1.32352941176471,17,8.47058823529412,2.46153846153846
"282","Hayden Wesneski","SP/RP","SP/RP77",-5.72661418457606,3.70678962362359,3.79915,68.11461825,0,4.36322766064165,1.28660791040846,72.74030825,8.42767344541738,2.82351981978286
"283","Hoby Milner","RP","RP37",-2.00930799769695,2.88708606972809,1.2676,26.411288,0,3.54023797274151,1.2106004295106,27.38803175,8.67903156275551,3.72731813134
"284","Hogan Harris","SP/RP","SP/RP690",-17.5033956897778,5.04848397493783,2.33333333333333,57.140413,0,4.77149464279736,1.46443819589778,66.130222,7.77653093316396,1.76319663738141
"285","Huascar Brazobán","RP","RP514",-10.3740231245242,7.64168399041169,0.8069,14.6305225,0,3.73214377986416,1.34000496301833,13.36787325,9.85008610101835,2.31644143653822
"286","Huascar Ynoa","SP/RP","SP/RP154",-8.1073683363515,NA,0.7041,14.6333,0,3.76513714285714,1.27340714285714,14,9.40712142857143,3.1267735042735
"287","Humberto Castellanos",NA,"NA282",-9.35608672773441,NA,0.0497,0.8995,0,4.13298,1.2643,1,8.0955,3.17507942110837
