"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"49","Blake Treinen","RP","RP67",9.20854096078138,3.20071873268049,4.39866,64.098375,7.211,3.35719297468004,1.16789229320184,56.403125,10.2278973904371,3.45883624207611
"50","Bobby Miller","SP","SP385",-13.4459247793218,4.26472692289668,2.49743333333333,44.2743,0,4.16301258687384,1.2752366011765,45.3435333333333,8.78777348625971,2.75704606877312
"51","Bowden Francis","SP/RP","SP/RP210",-6.07154621445776,5.44569718230155,9.2891025,138.835,0,4.35096087868938,1.21525402223435,149.74575,8.34424349272016,3.24434850427787
"52","Brad Keller","SP/RP","SP/RP464",-16.3965008875096,3.86657397294491,2.5253875,42.646775,1.062,4.41215760792633,1.43381974514471,53.33615,7.19626322859824,1.89200870877832
"53","Brad Lord","SP/RP","SP/RP493",-18.8774871817644,9.31668959025709,2.22423333333333,39.6452666666667,0,4.70802697852139,1.37935711322102,55.2736,6.45529511376136,2.21511636569521
"54","Bradley Blalock",NA,"NA566",-30.6567520148592,1.714388695541,2.02546666666667,35.0151666666667,0,5.34039075469289,1.52104101931072,46.986,6.70702975354361,1.85524577540409
"55","Brady Basso",NA,"NA164",-3.1898135829616,NA,1.42592,43.2055,0,3.82392604856251,1.19224964750728,42.3413,9.18369299005935,3.23024530290909
"56","Brady Singer","SP","SP528",-22.6844252371769,7.87796525392417,8.7502825,156.509,0,4.51161649708644,1.31660698650403,165.605,8.50566709942333,3.12782162249664
"57","Brandon Eisert",NA,"NA310",-10.636872586227,2.6366820539483,1.8949,33.6281333333333,0,4.15246969091394,1.34186077064275,36.0288,8.40031308286704,2.53863013560747
"58","Brandon Pfaadt","SP","SP107",2.25172625821038,3.69355078187012,9.744065,151.047,0,4.07283754105625,1.20433664824566,153.448,8.85917705020593,4.14883930447537
"59","Brandon Woodruff","RP","RP36",17.3624783297343,6.02488316048813,8.7649225,156.3925,0,3.65064233553517,1.13885430362168,142.04025,9.90939188011849,3.89889316233723
"60","Brant Hurter","SP/RP","SP/RP149",-2.35859412300266,5.85141825494346,2.6417975,45.234675,0,3.69449758870536,1.18852922675489,53.65375,7.58776553362999,3.50519176601408
"61","Braxton Ashcraft",NA,"NA267",-9.39000618080371,0.672862865913002,1.7223,34.5730333333333,0,4.06490565733649,1.26742387918982,41.3651666666667,7.52220588176042,3.38652496163516
"62","Brayan Bello","SP","SP390",-13.6465024506202,1.52183349158984,9.8541975,135.996,0,4.13970281791581,1.33642235148833,149.60525,8.18129042931314,2.60213189752656
"63","Brenan Hanifee","RP","RP226",-6.9682486865131,2.88823435331533,2.15213,42.8506,0,3.81114939659537,1.26442443852925,53.581375,7.19756445220004,2.86895711354149
"64","Brendon Little",NA,"NA320",-10.8758716536338,1.93774208922249,2.46929,47.753,0,3.86505773860548,1.37719774880539,55.441675,7.75187618339453,1.95361928704535
"65","Brennan Bernardino",NA,"NA276",-9.59562436153632,1.75126202249651,2.979455,53.243975,0,4.05815038572891,1.35483807708073,52.267925,9.16806578795695,2.52722293221886
"66","Brent Suter",NA,"NA415",-14.6140230214849,2.73560613438806,2.2092675,45.0035,1.0155,4.42557932458136,1.34410061771947,57.33185,7.06468568518197,2.58451422090135
"67","Brock Burke","RP","RP209",-6.04344872924246,2.87953095706184,3.2119225,62.8775,1.026,3.97218409390227,1.28472459213733,62.927125,8.99290250428571,2.85030111128992
"68","Brock Stewart","RP","RP187",-5.00637299222934,10.5241868473155,2.1834125,60.24675,0,3.73643248208092,1.27966255391979,49.210825,11.0183226962767,2.79835758900941
"69","Bryan Abreu","RP","RP74",6.75879632416065,2.26826014844749,3.4067675,90.4427,2.069,3.33246477544848,1.20018678435004,70.375275,11.5663391723869,2.95419324335028
"70","Bryan Baker","RP","RP225",-6.88147467107232,2.25078551194093,2.738125,58.230375,0,4.00159654256047,1.2824264034736,55.682825,9.41175982001631,2.53456825455206
"71","Bryan Hoeing",NA,"NA302",-10.4531266043183,1.15355499598788,2.57732,42.823325,0,4.22638944577738,1.2888377631819,53.99545,7.13782226094976,2.66167305047743
"72","Bryan Hudson","RP","RP105",2.48215589583339,4.01962243582309,3.343465,62.782375,0.98,3.42251307156608,1.20250336931252,58.5431,9.65171600069009,2.76210520063881
"73","Bryan King","RP","RP220",-6.69235728342701,5.80094522632107,2.0476525,59.26375,0,3.68313590068818,1.31231517132357,57.612475,9.25795585070768,2.38286943497884
"74","Bryan Woo","SP","SP47",14.0623447318925,8.44223219922379,8.317315,124.7795,0,3.73876319843474,1.11161293587163,133.3965,8.41862792502052,4.26829695876637
"75","Bryce Elder","SP","SP444",-15.8562198688927,4.36556227661131,4.1017625,58.119825,0,4.22295182020921,1.35122531844772,69.962425,7.47656224037403,2.37787185555981
"76","Bryce Jarvis","RP","RP481",-17.9398222284756,2.88346448896949,1.8968775,36.908175,0,4.52704848972003,1.45209349521322,46.46655,7.14866016521562,1.71252534579318
"77","Bryce Miller","SP","SP50",13.4743321101967,7.58727424807018,10.411525,158.95875,0,3.85336037268218,1.15494920521448,169.2595,8.45228037421829,3.60690936423071
"78","Bryse Wilson","SP/RP","SP/RP564",-30.1405861803408,2.7448844661811,4.0445,74.1785333333333,0,4.73825052781667,1.36317808814228,99.4505666666667,6.71295119149648,2.41885207145613
"79","Bubba Chandler",NA,"NA511",-21.1616269385846,2.45671755232497,3.92166666666667,57.9771,0,4.54191558572349,1.37875543828553,66.1973333333333,7.88240060022559,2.13034143019519
"80","Buck Farmer",NA,"NA321",-10.9421468871522,1.94695348503574,1.930805,41.238225,0,4.21830925342464,1.33804739472748,42.4351,8.74615648366565,2.28693730477496
"81","Cade Cavalli","RP","RP427",-15.2398895107683,3.58964899875266,4.229325,72.370925,0,4.278645183429,1.33028528200649,76.9344,8.46615200742451,2.27245658931768
"82","Cade Povich","SP","SP380",-13.1734641552744,3.73799616941828,3.6420375,61.48075,0,4.23089257226189,1.30515721541942,64.767025,8.54334053478603,2.50046771353156
"83","Cade Smith","RP","RP48",13.9901506941424,2.00646860563412,3.854245,85.32335,2.119,3.02446083950595,1.10976622920989,66.412275,11.5627743515788,3.73725279779243
"84","Caden Dana","SP/RP","SP/RP485",-18.334142157649,3.28402476467662,2.12375666666667,33.2395,0,4.98723937765548,1.36163713185331,39.5879333333333,7.55673445949018,2.27149720158816
"85","Cal Quantrill","SP","SP582",-43.901160230336,1.34634178103546,6.3702025,99.119875,0,4.87862771798975,1.44420486411886,136.222,6.54871368060959,1.88742330309968
"86","Caleb Ferguson","RP","RP179",-4.39858913216425,2.90579110600854,2.98912,60.589625,2.077,3.67548274072152,1.32012025261701,57.795,9.43518686737607,2.5727832748944
"87","Caleb Thielbar","RP","RP182",-4.6069110971436,1.50567038562788,2.9939875,57.680225,0,3.8807797654712,1.26591200890182,52.5735,9.87421467088933,2.8280442542092
"88","Calvin Faucher","RP","RP151",-2.42409719120535,4.72305372363135,2.44944,62.7591,24.1065,4.13315409831203,1.42498351084494,60.683825,9.30778341675068,2.24234341824717
"89","Cam Booser",NA,"NA447",-15.9116429594576,6.8627247071234,2.2358975,54.380275,0,4.48174540323393,1.41762921580203,52.08825,9.39602453528387,2.15721550823034
"90","Camilo Doval","RP","RP76",6.53090544717714,2.80510464944198,3.824735,72.05195,10.082,3.41259036741161,1.25731068233585,60.586,10.7032573531839,2.65849829351536
"91","Carlos Carrasco","SP","SP545",-24.6583346252369,7.12464700902531,2.60826666666667,41.9205333333333,0,5.01967022545811,1.41230330107056,50.1231333333333,7.52715911614996,2.53480066110372
"92","Carlos Estévez","RP","RP85",5.14127635133579,4.54892805167281,3.6891375,60.984225,21.052,4.00370054164959,1.26520682537199,62.166575,8.82882843392933,2.79943836084914
"93","Carlos Hernández",NA,"NA394",-13.7830942917211,4.23273956377782,1.7421025,46.716325,0,4.50934823232563,1.34622344904926,47.43945,8.86281196346079,2.2844140777334
"94","Carlos Rodón","SP","SP89",4.03599666305416,6.87073091266508,11.4604175,188.00875,0,4.16549990649295,1.21267732943869,168.4365,10.0457961902557,3.2866436058746
"95","Carlos Vargas",NA,"NA341",-11.3986036868643,4.11495771179031,2.244145,40.713825,0,4.08220425734582,1.35909049205137,48.50205,7.55482345591578,2.17622360988803
"96","Carmen Mlodzinski","RP","RP384",-13.4067621521579,4.93644858238221,3.812175,60.846875,0,4.18639379625124,1.3582987368382,68.690725,7.97228264805765,2.22401880918419
"97","Carson Spiers","SP/RP","SP/RP542",-24.2640067908073,3.99686665054272,2.46506666666667,44.2048,0,4.99948922528987,1.39930719177383,50.5767666666667,7.86612561894361,2.55070367542262
"98","Casey Legumina",NA,"NA364",-12.0843807824255,2.02472527822168,1.9515,34.4274666666667,0,4.34060491200348,1.33440344301958,39.9959,7.74697406484165,2.45886472987161
"99","Casey Mize","SP","SP459",-16.3055079940645,4.05826016014608,5.9135275,92.921125,0,4.28876029894858,1.28988252554139,117.57875,7.11259581344418,2.76913385897168
"100","Chad Green","RP","RP141",-1.72077475512255,1.48928728864701,3.538845,58.1544,4.027,4.11079768372749,1.19770384092015,60.4074,8.66432920470009,3.40854621703441
"101","Charlie Morton","SP","SP525",-22.4340083819902,6.08722919744459,8.7118425,149.066,0,4.43748749613668,1.35432957691247,150.4535,8.91700093384335,2.4089090170872
"102","Chase Dollander",NA,"NA574",-37.2815525281501,4.47634420350634,4.48816666666667,100.857333333333,0,5.00238532278493,1.41473901258589,108.958,8.33087978854237,2.25590571141418
"103","Chase Silseth","SP/RP","SP/RP383",-13.390483876704,3.73928676053875,2.64493333333333,58.1828333333333,0,4.34119369998917,1.35075291581597,58.7914333333333,8.90683336517849,2.38139643394587
"104","Chris Bassitt","SP","SP324",-10.9572744890682,4.86251321587445,10.83895,157.54675,0,4.17411318863187,1.29830451835559,173.56425,8.169428612171,2.61657753566624
"105","Chris Martin","RP","RP63",9.93644014504808,0.784318449408155,3.308385,58.171125,7.9675,3.33784396862224,1.10432487091567,56.09705,9.33275680271957,5.87551957117718
"106","Chris Paddack","SP","SP500",-19.8217925153533,9.5708806132388,6.1226275,111.905675,0,4.50865362009272,1.30221961889107,124.41325,8.09520750402389,3.44891571927743
"107","Chris Roycroft","RP","RP378",-13.0274412224566,2.76901094096769,2.486265,42.4691,0,4.14472235798281,1.40160634282438,49.668725,7.69542403192351,1.92008445476267
"108","Chris Sale","SP","SP3",44.8029964777664,5.56761562078665,12.9492,208.825,0,3.16635732898736,1.10211162537116,170.5795,11.0178831571203,4.60795173704279
"109","Chris Stratton","RP","RP512",-21.28574637773,2.20829106294076,2.4070625,43.6134,0,4.81592381979806,1.45982113069255,53.578225,7.3261217593528,1.85413779323363
"110","Cionel Pérez","RP","RP348",-11.6019997313533,2.1755550962754,2.6467425,49.082175,0,3.86869826954154,1.39728815534443,56.636725,7.7995253962866,1.86668422468816
"111","Clarke Schmidt","SP","SP147",-2.05664539068521,4.95281508116736,9.1337575,140.12025,0,4.01493077023632,1.25172341305031,141.5215,8.91088809827482,3.01468235035938
"112","Clay Holmes","SP/RP","SP/RP112",0.793743443662882,7.33689081474938,10.828245,143.97875,0,3.6206131676066,1.32097774511527,156.4825,8.2808540891154,2.47571634420287
"113","Clayton Kershaw","SP","SP195",-5.30741512347615,1.9414784359163,4.6438225,57.2214,0,3.87459607408122,1.22671457509405,62.202,8.27935757692679,3.30106004009403
