"","system","player_name","playerid","ip","w","er","h","bb","sv","so","g","gs","team","whip","era"
"774","rzipsdc","Clayton Kershaw","2036",31,3,12,28,8,0,30,6,6,"LAD",1.16129032258065,3.48387096774194
"775","rzipsdc","Hunter Brown","25880",39,3,17,35,15,0,40,7,7,"HOU",1.28205128205128,3.92307692307692
"776","rzipsdc","Freddy Peralta","18679",39,2,18,32,14,0,45,7,7,"MIL",1.17948717948718,4.15384615384615
"777","rzipsdc","Carlos Rodón","16137",37,3,18,32,12,0,42,7,7,"NYY",1.18918918918919,4.37837837837838
"778","rzipsdc","Tyler Glasnow","14374",26,2,10,21,8,0,33,5,5,"LAD",1.11538461538462,3.46153846153846
"779","rzipsdc","Jack Flaherty","17479",40,3,19,36,13,0,47,7,7,"LAD",1.225,4.275
"780","rzipsdc","Sean Manaea","15873",41,2,20,40,15,0,42,7,7,"NYM",1.34146341463415,4.39024390243902
"781","rzipsdc","Yusei Kikuchi","20633",41,3,16,36,13,0,44,10,7,"HOU",1.19512195121951,3.51219512195122
"782","rzipsdc","Bryce Miller","29837",34,2,15,32,8,0,31,6,6,"SEA",1.17647058823529,3.97058823529412
"783","rzipsdc","MacKenzie Gore","22201",34,2,15,32,14,0,37,7,7,"WSN",1.35294117647059,3.97058823529412
"784","rzipsdc","Jacob deGrom","10954",19,0,6,14,4,0,27,6,3,"TEX",0.947368421052632,2.84210526315789
"785","rzipsdc","Nathan Eovaldi","9132",37,2,17,35,10,0,35,6,6,"TEX",1.21621621621622,4.13513513513514
"786","rzipsdc","Shane Baz","22264",33,1,16,31,12,0,33,7,7,"TBR",1.3030303030303,4.36363636363636
"787","rzipsdc","Eduardo Rodriguez","13164",33,2,14,34,10,0,32,6,6,"ARI",1.33333333333333,3.81818181818182
"788","rzipsdc","Michael Wacha","14078",38,2,18,39,12,0,32,7,7,"KCR",1.34210526315789,4.26315789473684
"789","rzipsdc","Nick Lodolo","26378",33,2,17,32,11,0,37,7,7,"CIN",1.3030303030303,4.63636363636364
"790","rzipsdc","Walker Buehler","19374",34,2,15,31,9,0,32,6,6,"LAD",1.17647058823529,3.97058823529412
"791","rzipsdc","Max Scherzer","3137",28,2,12,25,7,0,30,5,5,"TEX",1.14285714285714,3.85714285714286
"792","rzipsdc","Alex Cobb","6562",26,1,10,26,8,0,22,5,5,"CLE",1.30769230769231,3.46153846153846
"793","rzipsdc","Jordan Montgomery","16511",34,2,14,35,11,0,30,6,6,"ARI",1.35294117647059,3.70588235294118
"794","rzipsdc","Erick Fedde","17425",37,2,18,38,11,0,34,7,7,"STL",1.32432432432432,4.37837837837838
"795","rzipsdc","Ryan Pepiot","26221",36,2,15,30,14,0,39,9,6,"TBR",1.22222222222222,3.75
"796","rzipsdc","Taj Bradley","22543",36,2,17,32,13,0,38,7,7,"TBR",1.25,4.25
"797","rzipsdc","Frankie Montas","14309",37,2,18,35,14,0,36,7,7,"MIL",1.32432432432432,4.37837837837838
"798","rzipsdc","Luis Gil","21052",28,2,13,23,15,0,34,9,5,"NYY",1.35714285714286,4.17857142857143
"799","rzipsdc","Brayan Bello","23920",38,3,19,40,14,0,35,7,7,"BOS",1.42105263157895,4.5
"800","rzipsdc","Edwin Díaz","14710",15,1,5,10,5,8,23,15,0,"NYM",1,3
"801","rzipsdc","Matthew Boyd","15440",31,2,16,30,11,0,36,8,6,"CLE",1.32258064516129,4.64516129032258
"802","rzipsdc","Kutter Crawford","20531",38,2,21,39,11,0,38,7,7,"BOS",1.31578947368421,4.97368421052632
"803","rzipsdc","Matt Waldron","25550",36,2,17,35,11,0,31,6,6,"SDP",1.27777777777778,4.25
"804","rzipsdc","Tyler Anderson","12880",42,2,22,43,15,0,37,7,7,"LAA",1.38095238095238,4.71428571428571
"805","rzipsdc","Andrew Abbott","29911",36,2,19,35,14,0,36,7,7,"CIN",1.36111111111111,4.75
"806","rzipsdc","Emmanuel Clase","21032",16,2,5,13,3,8,16,16,0,"CLE",1,2.8125
"807","rzipsdc","Carson Spiers","27685",42,2,24,44,15,0,37,9,6,"CIN",1.4047619047619,5.14285714285714
"808","rzipsdc","Jameson Taillon","11674",39,2,19,39,9,0,33,7,7,"CHC",1.23076923076923,4.38461538461538
"809","rzipsdc","Mason Miller","31757",15,1,5,10,6,7,22,15,0,"OAK",1.06666666666667,3
"810","rzipsdc","Nick Pivetta","15454",38,2,19,35,12,0,42,7,7,"BOS",1.23684210526316,4.5
"811","rzipsdc","Bryan Woo","30279",26,1,11,24,6,0,24,7,5,"SEA",1.15384615384615,3.80769230769231
"812","rzipsdc","Yoshinobu Yamamoto","33825",18,1,7,14,4,0,18,3,3,"LAD",1,3.5
"813","rzipsdc","Colin Rea","12317",40,2,21,41,11,0,34,7,7,NA,1.3,4.725
"814","rzipsdc","Gavin Williams","30122",33,2,15,30,13,0,33,7,7,"CLE",1.3030303030303,4.09090909090909
"815","rzipsdc","Luis Severino","15890",38,2,20,38,13,0,33,7,7,"NYM",1.34210526315789,4.73684210526316
"816","rzipsdc","Joe Musgrove","12970",32,2,13,30,8,0,30,6,6,"SDP",1.1875,3.65625
"817","rzipsdc","Dean Kremer","19350",35,2,16,34,12,0,31,6,6,"BAL",1.31428571428571,4.11428571428571
"818","rzipsdc","Miles Mikolas","9803",42,2,20,45,8,0,29,7,7,"STL",1.26190476190476,4.28571428571429
"819","rzipsdc","Bailey Falter","20070",32,1,16,34,9,0,24,8,6,"PIT",1.34375,4.5
"820","rzipsdc","Tyler Mahle","16358",32,2,15,29,11,0,32,9,5,"TEX",1.25,4.21875
"821","rzipsdc","Simeon Woods Richardson","24494",32,1,16,32,12,0,27,6,6,"MIN",1.375,4.5
"822","rzipsdc","Justin Verlander","8700",33,2,15,32,10,0,28,6,6,"HOU",1.27272727272727,4.09090909090909
"823","rzipsdc","Andrew Heaney","15423",34,2,17,34,11,0,34,7,7,"TEX",1.32352941176471,4.5
"824","rzipsdc","Raisel Iglesias","17130",15,2,5,13,3,7,19,15,0,"ATL",1.06666666666667,3
"825","rzipsdc","Hunter Greene","22182",19,1,9,16,7,0,24,4,4,"CIN",1.21052631578947,4.26315789473684
"826","rzipsdc","Charlie Morton","4676",42,3,20,39,17,0,45,8,8,"ATL",1.33333333333333,4.28571428571429
"827","rzipsdc","JP Sears","23429",38,2,18,38,11,0,34,7,7,"OAK",1.28947368421053,4.26315789473684
"828","rzipsdc","Jared Jones","27863",28,1,14,27,10,0,27,6,6,"PIT",1.32142857142857,4.5
"829","rzipsdc","Merrill Kelly","11156",38,2,17,37,12,0,32,6,6,"ARI",1.28947368421053,4.02631578947368
"830","rzipsdc","Tobias Myers","22191",34,2,17,34,11,0,31,9,6,"MIL",1.32352941176471,4.5
"831","rzipsdc","Gavin Stone","27792",28,2,14,28,9,0,26,8,5,"LAD",1.32142857142857,4.5
"832","rzipsdc","Marcus Stroman","13431",40,2,19,40,14,0,31,7,7,"NYY",1.35,4.275
"833","rzipsdc","Zack Littell","15823",28,2,12,27,6,0,23,5,5,"TBR",1.17857142857143,3.85714285714286
"834","rzipsdc","Aaron Civale","19479",35,1,19,35,10,0,33,7,7,"MIL",1.28571428571429,4.88571428571429
"835","rzipsdc","Kyle Gibson","10123",40,2,20,42,15,0,34,7,7,"STL",1.425,4.5
"836","rzipsdc","Ronel Blanco","19407",39,2,19,36,17,0,40,10,6,"HOU",1.35897435897436,4.38461538461538
"837","rzipsdc","José Berríos","14168",41,2,21,41,12,0,37,7,7,"TOR",1.29268292682927,4.60975609756098
"838","rzipsdc","Jhoan Duran","21029",15,2,5,12,4,6,19,15,0,"MIN",1.06666666666667,3
"839","rzipsdc","Trevor Rogers","22286",31,2,13,27,12,0,28,6,6,"BAL",1.25806451612903,3.7741935483871
"840","rzipsdc","Osvaldo Bido","23150",31,2,15,30,15,0,30,9,6,"OAK",1.45161290322581,4.35483870967742
"841","rzipsdc","Trevor Megill","17722",14,0,5,12,4,1,18,14,0,"MIL",1.14285714285714,3.21428571428571
"842","rzipsdc","David Peterson","20302",34,2,17,33,16,0,34,9,6,"NYM",1.44117647058824,4.5
"843","rzipsdc","Chris Flexen","13896",38,2,22,43,15,0,29,10,6,"CHW",1.52631578947368,5.21052631578947
"844","rzipsdc","Andrés Muñoz","20373",14,2,5,11,6,6,21,14,0,"SEA",1.21428571428571,3.21428571428571
"845","rzipsdc","Mitch Spence","27707",36,2,17,38,12,0,28,9,6,"OAK",1.38888888888889,4.25
"846","rzipsdc","Reid Detmers","27468",23,1,12,22,9,0,25,4,4,"LAA",1.34782608695652,4.69565217391304
