"","player_name","position_group","position_group_rank","position","dollars","dollars_sd","h","hr","r","rbi","sb","avg","ab","hr_per600","r_per600","rbi_per600","sb_per600"
"64","Paul DeJong","MI/CI",9,"SS/3B",-21.1128503768624,1.60000768007487,12.8369,2.7119875,6.89692,7.8883625,0.55136425,0.218172980382209,58.838175,27.6553870000217,70.3310733210199,80.4412696348926,5.62251548420732
"65","Patrick Wisdom","CI/OF",27,"1B/3B/OF",-21.150271144643,1.6552781056988,9.0686975,2.862855,6.1566825,7.0321775,0.98108,0.213969533865188,42.383125,40.5282291006149,87.157553861354,99.551566808724,13.8887351982658
"66","Joey Gallo","CI/OF",28,"1B/OF",-21.2671852503704,3.32095907634614,10.1382,2.9523475,7.68965,7.8642225,0.47910325,0.183192451275528,55.3418,32.0085089389937,83.3689905279554,85.2616557466508,5.19430069134
"67","Christian Vázquez","C",21,"C",-21.3756978863233,2.77198000258986,9.8770625,0.95720075,4.4695,4.209185,0.22022225,0.23992611818661,41.1671,13.950957196402,65.1418244180426,61.3477995778182,3.20968321790945
"68","Trey Sweeney","MI",10,"SS",-21.4338858443685,1.02109345753001,14.6677,1.4734225,7.66087,7.6249825,1.5299625,0.220987374851174,66.373475,13.3193794659689,69.2523933694899,68.9279791362438,13.8304872541328
"69","Brayan Rocchio","MI",11,"SS",-21.5961183912219,0.658743421449034,13.8897,0.96595975,7.44983,5.94583,1.9438225,0.23682040007144,58.650775,9.88181059841068,76.2120875640603,60.8261016158781,19.8853894087504
"70","Josh Rojas","MI/CI",12,"2B/3B",-22.1210909515492,2.34914943009498,14.1818,1.1159075,7.58439,6.0014575,1.98613,0.235586682569795,60.1978,11.1224081278718,75.5946895069255,59.8173770470017,19.7960390579058
"71","Jacob Stallings","C",22,"C/RP",-22.1657841993857,2.34187051788534,9.18202,0.96517525,4.1190575,4.36317,0.025298725,0.245036990977924,37.471975,15.4543535535557,65.9542097794418,69.8629308970237,0.405082331529096
"72","Yasmani Grandal","C",23,"C",-22.3328113129318,3.91781704754598,9.05066,1.0980825,4.32269,4.64329,0.04729165,0.229642532277647,39.41195,16.716998270829,65.8078070229968,70.6885601955752,0.71995904795373
"73","Hunter Goodman","C/CI/OF",29,"C/1B/OF",-22.363816649859,2.11574738327879,5.8261325,1.0644815,3.2638425,3.706765,0.09024425,0.242333456729529,24.0418,26.565768786031,81.4541964411982,92.5080068880034,2.2521836967282
"74","Carson Kelly","C",24,"C",-22.4646624788532,3.00963153713824,8.10734,1.1158275,4.173915,4.5133775,0.05239635,0.224006078607446,36.1925,18.4982109553084,69.1952476341783,74.8228638530082,0.868627754368999
"75","Jonah Bride","CI",7,"1B/3B",-22.5744983657632,3.11667550096728,15.963175,1.46585,7.9999675,7.3915675,0.2170145,0.237870956830389,67.10855,13.1057816030893,71.5256178236603,66.086072490018,1.94026990599558
"76","Tyler Freeman","MI/CI/OF",30,"2B/SS/3B/OF",-22.889789900022,6.10987766792255,12.132625,1.0709425,6.76922,5.34343,1.6233775,0.252541915125351,48.042025,13.3750710966076,84.5412323897671,66.7344476008245,20.2744680308542
"77","Michael Siani","",4,NA,-22.9499384260631,7.88372136323055,11.3363375,0.86216475,6.475025,4.672515,2.78137,0.218638439566671,51.8497,9.97689186244086,74.9283988142651,54.0699174730037,32.1857599947541
"78","Derek Hill","OF",31,"OF",-23.1787944743564,4.17520337118195,11.9714,1.0742475,6.0832975,5.5188775,1.6187225,0.240989248848666,49.676075,12.9750287235858,73.4755815551048,66.6583762907999,19.5513333128674
"79","Ramón Laureano","OF",32,"OF",-23.3555751072301,5.34859410032092,10.602225,1.8406475,6.1138025,5.3489225,1.13055,0.241800465254179,43.847,25.1873218236139,83.6609460168312,73.1943690560358,15.4703856592241
"80","Mauricio Dubón","CI/MI/CI/OF",33,"1B/2B/SS/3B/OF",-23.3727941004998,2.34933404065624,13.86785,1.0779725,6.6522775,6.00346,0.9127175,0.256038468959062,54.16315,11.9413937335624,73.6915504360437,66.5041822715259,10.1107579599783
"81","Will Brennan","OF",34,"OF",-23.6608945161769,4.5282569502146,13.12975,0.96968,5.960645,5.8689125,1.380155,0.263192314958799,49.886525,11.6626283350063,71.6904414568864,70.5871475313223,16.5995326393249
"82","Pedro Pagés","C",25,"C",-23.695214040399,3.78416673606582,8.79712,0.947583,4.0578625,4.6233625,0.08269475,0.233103752542954,37.739075,15.0652818067216,64.5144985668038,73.5051799759268,1.31473413166592
"83","Kevin Pillar","OF",35,"OF",-24.1191093258113,2.70794300880036,10.072575,1.513705,5.6045375,5.6852275,1.106,0.236084506959724,42.665125,21.2872457305586,78.8166564612198,79.9514005877165,15.553686998456
"84","Jose Trevino","C",26,"C",-24.1925903048093,0.867120588852873,7.790985,0.98391775,3.810395,3.93778,0.0788955,0.231113803966705,33.7106,17.5123151175001,67.8195285755816,70.0867976244861,1.40422597046626
"85","Taylor Walls","MI/CI",13,"2B/SS/3B",-24.3692075352068,3.17140442470464,12.942825,1.1352425,8.0333575,5.9203275,3.0510025,0.203594130721689,63.5717,10.7146025668654,75.8201290825949,55.8770097386101,28.795855703088
"86","Max Schuemann","MI/CI/OF",36,"2B/SS/3B/OF",-24.3905297614082,3.29448788207078,13.03585,1.067575,7.675935,5.796055,1.97879,0.219545334165873,59.376575,10.7878401541349,77.5652856366336,58.5691074299924,19.9956632729321
"87","Jon Singleton","CI",8,"1B",-24.6073170106485,3.3460478712702,12.650225,2.1580875,7.80902,7.600515,0.0372245475,0.213044131770083,59.378425,21.8067841981326,78.9076503797465,76.8007740185092,0.376142150958029
"88","Luis Torrens","",5,NA,-24.9996507233618,2.66943181289524,7.3991075,0.986835,3.5487125,3.849845,0.1043265,0.229399636791769,32.254225,18.3573159795345,66.0139098056146,71.6156410516762,1.94070389228078
"89","Griffin Conine","OF",37,"OF",-25.0968042907661,3.94258969482126,12.851575,2.049345,6.4588325,7.3140525,0.3063289,0.212871075981106,60.372575,20.3669795432777,64.189733500683,72.6891556306816,3.04438463987995
"90","Mitch Haniger","OF",38,"OF",-25.0995945935689,1.77500503057652,10.908775,1.97846,6.081885,6.787765,0.0379493,0.218968604284719,49.8189,23.827824379904,73.2479239806579,81.7492758772273,0.457047024322095
"91","Jake Cave","CI/OF",39,"1B/OF",-25.2910096462736,3.78623444910542,11.022175,1.0592375,5.5780575,5.210535,0.83720625,0.254152363329269,43.368375,14.6545149547337,77.1722366816834,72.0875753357141,11.5827201272817
"92","Dylan Moore","MI/CI/OF",40,"2B/SS/3B/OF",-25.6729516174016,4.47960751899759,9.297075,1.49829,6.4275425,5.196545,3.2434425,0.206298064681477,45.066225,19.9478434237614,85.5746293371588,69.185448747926,43.1823499749535
"93","Hunter Renfroe","CI/OF",41,"1B/OF",-25.9780651753412,2.10571869708646,10.0941,1.867305,5.3899275,5.941135,0.061212225,0.239089318895899,42.21895,26.537443493976,76.5996430512838,84.4331988360677,0.869925353425417
"94","Gavin Sheets","CI/OF",42,"1B/OF",-26.0347033128426,4.591517437032,12.3423,1.81568,5.418315,6.1110425,0.0983005,0.237807644842472,51.90035,20.9903786776004,62.6390573473975,70.6474137457647,1.13641430163766
"95","Luis Campusano","C",27,"C",-26.2828830713612,2.11262074769572,6.4188725,0.91420825,3.23207,3.6486775,0.01586729,0.244582517280009,26.2442,20.9008066544227,73.8922123745437,83.4167739919678,0.362761067207231
"96","Dominic Fletcher","OF",43,"OF",-26.5169841984635,3.35899414151772,14.54855,1.00782575,6.8001525,6.42893,0.527505,0.232852150956049,62.479775,9.67825908463979,65.3025959200397,61.7377063217657,5.06568725639617
"97","Michael Stefanic","",6,NA,-27.2211796788141,3.13712529252821,14.85515,0.48564,6.19203,5.3383125,0.3493245,0.266590635414293,55.7227,5.22917949058463,66.6733306175042,57.4808381503409,3.76138808779905
"98","Ty France","CI",9,"1B",-27.2709479131513,2.74314733581835,11.783875,1.1976275,5.7437675,5.976635,0.028377025,0.259101863029,45.4797,15.7999393135839,75.7757966741206,78.8479475458281,0.374369553888878
"99","Jake Bauers","CI/OF",44,"1B/OF",-28.2210957094851,1.46716379979021,8.49588,1.832685,5.1747975,5.720665,1.0863875,0.208557329220716,40.736425,26.9933112687233,76.2187280793541,84.2587193156984,16.0012200383318
"100","James McCann","",7,NA,-28.5643772980997,0.972535313692095,5.34474,0.79317775,2.757075,2.764915,0.115993,0.232744548798716,22.963975,20.7240536536031,72.0365267772674,72.2413693622293,3.03065127008717
"101","Dairon Blanco","OF",45,"OF",-28.7932580658527,2.71105102333286,6.8350525,0.54958575,4.2416125,2.79108,3.49226,0.254539453777796,26.852625,12.2800452469731,94.7753711229349,62.3644057145251,78.0317008113732
"102","Alex Jackson","",8,NA,-28.9096990367697,1.75218589130086,5.6390175,1.03646,3.288745,3.7632075,0.080686,0.189960089640403,29.685275,20.9489721755988,66.4722492885783,76.0621048651225,1.63082875263915
